Clt;Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Att;Action de jeu;Coup de pied arrêté;CF;Tr;Tr;Ctr;PCF;Co;Rentrant;Sortant;Droit;Cmp;HJ;Balles contrées;Matchs
;Achraf Hakimi;ma MAR;DF;Paris S-G;26-068;1998;13.4;1245;1126;117;17;2;2;54;97;3;0;0;0;1098;2;18;Matchs
;Florent Hanin;dz ALG;DF;Angers;34-342;1990;12.7;715;576;134;16;1;3;49;118;0;0;0;0;546;5;8;Matchs
;Amine Harit;ma MAR;MT;Marseille;27-207;1997;5.2;225;204;17;7;3;1;6;0;5;2;1;0;188;4;6;Matchs
;Hans Hateboer;nl NED;DF;Rennes;31-002;1994;11.3;693;626;66;23;0;6;25;43;0;0;0;0;585;1;13;Matchs
;Luis Henrique;br BRA;AT,DF;Marseille;23-028;2001;13.6;566;546;19;2;1;2;29;12;5;1;3;0;451;1;13;Matchs
;Lucas Hernández;fr FRA;DF;Paris S-G;28-332;1996;0.6;54;48;6;1;1;2;0;5;0;0;0;0;45;0;2;Matchs
;Ki-Jana Hoever;nl NED;DF;Auxerre;22-359;2002;11.3;471;380;90;4;0;6;38;86;0;0;0;0;316;1;10;Matchs
;Cédric Hountondji;bj BEN;DF;Angers;30-358;1994;3.0;100;95;5;4;0;0;0;0;0;0;0;0;85;0;0;Matchs
;Ilyes Housni;fr FRA;AT;Le Havre;19-242;2005;2.2;49;45;4;0;0;1;2;0;0;0;0;0;32;0;6;Matchs
;Pierre Højbjerg;dk DEN;MT;Marseille;29-159;1995;14.9;1380;1326;53;48;4;3;4;2;1;0;0;0;1279;1;8;Matchs
;George Ilenikhena;fr FRA;AT;Monaco;18-148;2006;6.1;82;74;7;0;1;0;0;0;0;0;0;0;55;1;1;Matchs
;Rareş Ilie;ro ROU;MT;Nice;21-267;2003;0.1;10;8;2;1;0;0;3;0;1;0;1;0;8;0;2;Matchs
;Ismaily;br BRA;DF;Lille;35-000;1990;1.8;128;107;21;1;0;0;6;18;2;0;2;0;115;0;1;Matchs
;Yanis Issoufou;fr FRA;MT,AT;Montpellier;18-075;2006;0.9;20;19;0;0;0;0;3;0;0;0;0;0;10;1;3;Matchs
;;;;;;;;;;;;;;;;;;;;;;;
;Junya Ito;jp JPN;AT;Reims;31-308;1993;15.6;659;566;92;26;7;5;137;13;52;15;29;0;431;1;29;Matchs
;Ismail Jakobs;sn SEN;DF;Monaco;25-147;1999;2.0;105;87;18;5;0;0;14;13;0;0;0;0;85;0;2;Matchs
;Jordan James;wls WAL;MT;Rennes;20-193;2004;4.4;224;217;7;7;0;2;3;0;0;0;0;0;198;0;2;Matchs
;Karl-Johan Johnsson;se SWE;GB;Strasbourg;34-349;1990;3.0;129;118;11;4;0;0;0;0;0;0;0;0;107;0;0;Matchs
;Paul Joly;fr FRA;DF;Auxerre;24-218;2000;6.5;388;331;55;9;0;5;38;46;0;0;0;0;272;2;11;Matchs
;Jota;pt POR;AT,MT;Rennes;25-287;1999;3.7;132;124;8;1;1;1;16;4;3;1;0;0;95;0;4;Matchs
;Antoine Joujou;fr FRA;MT,AT;Le Havre;21-305;2003;4.4;101;101;0;0;1;0;12;0;0;0;0;0;61;0;6;Matchs
;Jubal;br BRA;DF;Auxerre;31-135;1993;14.4;488;462;25;25;0;2;0;0;0;0;0;0;412;1;2;Matchs
;Hamed Junior Traorè;ci CIV;MT;Auxerre;24-330;2000;13.0;329;298;26;10;3;2;32;3;10;5;3;0;234;5;7;Matchs
;Yaya Kader Fofana;ml MLI;MT,AT;Reims;20-213;2004;7.0;232;228;4;3;3;0;6;0;1;0;0;0;177;0;5;Matchs
;Tino Kadewere;zw ZIM;MT,AT;Nantes;29-006;1996;5.3;149;146;2;1;1;0;2;1;0;0;0;0;110;1;7;Matchs
;Arnaud Kalimuendo;fr FRA;AT;Rennes;22-357;2002;13.1;241;215;25;0;0;2;6;0;0;0;0;0;185;1;17;Matchs
;Waren Kamanzi;no NOR;DF,MT;Toulouse;24-061;2000;7.6;307;268;39;5;1;0;12;34;0;0;0;0;246;0;14;Matchs
;Glen Kamara;fi FIN;MT;Rennes;29-075;1995;7.4;412;400;10;9;1;0;0;1;0;0;0;0;372;2;3;Matchs
;Nordine Kandil;fr FRA;MT;Strasbourg;23-072;2001;0.1;6;6;0;0;0;0;0;0;0;0;0;0;3;0;0;Matchs
;Lee Kang-in;kr KOR;AT,MT;Paris S-G;23-327;2001;10.1;737;655;79;5;7;6;60;6;63;19;17;0;638;3;12;Matchs
;Yassine Kechta;ma MAR;MT,AT;Le Havre;22-321;2002;11.4;378;363;12;3;2;2;8;1;0;0;0;0;296;3;9;Matchs
;Thilo Kehrer;de GER;DF;Monaco;28-112;1996;14.0;989;933;53;47;1;6;1;1;0;0;0;0;889;3;4;Matchs
;Reda Khadra;de GER;MT,AT;Reims;23-191;2001;0.9;30;27;3;3;1;0;3;0;0;0;0;0;22;0;0;Matchs
;Wahbi Khazri;tn TUN;AT,MT;Montpellier;33-338;1991;7.5;217;178;38;7;1;3;34;1;18;5;10;0;142;1;9;Matchs
;Abdukodir Khusanov;uz UZB;DF;Lens;20-317;2004;10.8;548;521;26;13;0;3;5;8;0;0;0;0;483;1;3;Matchs
;Joshua King;no NOR;AT,MT;Toulouse;32-362;1992;10.0;196;185;9;0;0;0;7;1;0;0;0;0;138;2;4;Matchs
;Cédric Kipré;ci CIV;DF;Reims;28-033;1996;10.8;556;522;32;26;2;3;3;1;0;0;0;0;483;2;0;Matchs
;Hervé Koffi;bf BFA;GB;Lens;28-087;1996;1.0;23;19;4;0;0;0;0;0;0;0;0;0;18;0;0;Matchs
;Philipp Köhn;ch SUI;GB;Monaco;26-284;1998;10.0;295;225;70;16;0;0;0;0;0;0;0;0;224;0;0;Matchs
;;;;;;;;;;;;;;;;;;;;;;;
;Randal Kolo Muani;fr FRA;AT;Paris S-G;26-037;1998;4.0;78;73;5;0;2;1;0;0;0;0;0;0;57;0;3;Matchs
;Geoffrey Kondogbia;cf CTA;DF,MT;Marseille;31-331;1993;12.2;909;884;24;12;2;1;1;2;0;0;0;0;843;1;4;Matchs
;Abdoul Koné;fr FRA;DF;Reims;19-264;2005;1.2;48;35;13;0;0;0;0;13;0;0;0;0;32;0;6;Matchs
;Amadou Koné;ml MLI;MT;Reims;19-242;2005;5.9;276;273;3;2;1;1;0;1;0;0;0;0;249;0;0;Matchs
;Ismaël Koné;ca CAN;MT,AT;Marseille;22-219;2002;4.0;180;176;4;2;1;0;3;0;0;0;0;0;156;0;3;Matchs
;Emmanuel Koum Mbondo;fr FRA;DF;Marseille;18-341;2006;0.1;9;7;2;0;0;0;0;2;0;0;0;0;8;0;0;Matchs
;Boubakar Kouyaté;ml MLI;DF;Montpellier;27-271;1997;1.2;28;27;0;0;0;0;0;0;0;0;0;0;21;1;0;Matchs
;Sael Kumbedi;fr FRA;DF;Lyon;19-291;2005;2.0;92;74;18;2;1;0;5;16;0;0;0;0;77;0;2;Matchs
;Daler Kuzyaev;ru RUS;MT;Le Havre;31-362;1993;6.3;260;253;7;5;1;1;6;0;2;2;0;0;211;0;2;Matchs
;Rémy Labeau Lascary;gp GLP;AT,MT;Lens;21-314;2003;7.1;174;167;5;0;1;1;19;1;0;0;0;0;127;2;3;Matchs
;Gaëtan Laborde;fr FRA;AT;Nice;30-253;1994;5.1;133;124;8;0;1;1;12;0;0;0;0;0;88;1;4;Matchs
;Alexandre Lacazette;fr FRA;AT;Lyon;33-228;1991;11.5;288;276;10;0;4;4;12;0;0;0;0;0;201;2;10;Matchs
;Alban Lafont;fr FRA;GB;Nantes;25-354;1999;12.0;367;278;88;31;0;1;0;0;0;0;0;0;256;1;1;Matchs
;Kenny Lala;mg MAD;DF;Brest;33-100;1991;12.8;820;681;137;23;1;8;53;108;5;1;2;0;650;2;16;Matchs
;Mohamed Lamine Bayo;gn GUI;AT,MT;Lille;26-221;1998;2.5;42;35;7;0;0;0;0;0;0;0;0;0;29;0;2;Matchs
;Gautier Larsonneur;fr FRA;GB;Saint-Étienne;27-323;1997;16.0;619;476;141;51;0;0;0;0;0;0;0;0;395;2;0;Matchs
;Julien Le Cardinal;fr FRA;DF;Brest;27-161;1997;8.8;440;418;20;19;0;8;2;0;0;0;0;0;378;2;0;Matchs
;Jérémy Le Douaron;fr FRA;AT;Brest;26-265;1998;1.1;14;14;0;0;0;0;0;0;0;0;0;0;11;0;0;Matchs
;Benjamin Lecomte;fr FRA;GB;Montpellier;33-260;1991;13.0;504;377;127;41;0;0;0;0;0;0;0;0;348;0;0;Matchs
;Pierre Lees-Melou;fr FRA;MT;Brest;31-231;1993;3.9;256;245;9;6;0;2;6;1;2;2;0;0;225;2;7;Matchs
;Jordan Lefort;fr FRA;DF;Angers;31-155;1993;16.0;888;836;45;38;2;2;8;5;0;0;0;0;732;7;12;Matchs
;Félix Lemaréchal;fr FRA;AT,MT;Strasbourg;21-157;2003;3.8;124;118;6;2;1;0;3;0;1;1;0;0;98;0;4;Matchs
;Donovan Léon;gf GUF;GB;Auxerre;32-069;1992;15.0;519;367;151;62;0;3;0;1;0;0;0;0;300;1;0;Matchs
;Esteban Lepaul;fr FRA;AT,MT;Angers;24-268;2000;3.3;86;81;3;0;1;1;5;1;0;0;0;0;67;2;4;Matchs
;Johann Lepenant;fr FRA;MT;Nantes;22-081;2002;11.7;387;380;7;1;0;0;11;3;1;1;0;0;301;0;19;Matchs
;;;;;;;;;;;;;;;;;;;;;;;
;Louis Leroux;fr FRA;MT,AT;Nantes;18-354;2006;0.2;11;11;0;0;0;0;1;0;0;0;0;0;10;0;0;Matchs
;Pol Lirola;es ESP;DF;Marseille;27-151;1997;4.0;184;154;29;1;0;0;6;28;0;0;0;0;141;1;4;Matchs
;Gautier Lloris;fr FRA;DF;Le Havre;29-177;1995;16.0;820;796;21;16;0;3;2;3;0;0;0;0;715;3;4;Matchs
;Andy Logbo;fr FRA;AT;Le Havre;20-250;2004;0.3;4;3;1;0;0;0;0;0;0;0;0;0;3;0;0;Matchs
;Anthony Lopes;pt POR;GB;Nantes;34-102;1990;2.0;75;54;21;5;0;0;0;0;0;0;0;0;35;0;0;Matchs
;Jordan Lotomba;ch SUI;MT,DF;Nice;26-104;1998;0.4;21;19;2;0;0;0;2;2;0;0;0;0;17;0;0;Matchs
;Tom Louchet;fr FRA;DF,MT;Nice;21-252;2003;5.3;290;241;48;10;0;0;24;38;0;0;0;0;235;1;7;Matchs
;Milos Lukovic;rs SRB;AT,MT;Strasbourg;19-054;2005;0.1;3;3;0;0;0;0;0;0;0;0;0;0;2;0;0;Matchs
;Othmane Maamma;ma MAR;AT,MT;Montpellier;19-097;2005;0.7;12;11;1;0;0;0;3;1;0;0;0;0;10;0;0;Matchs
;Deiver Machado;co COL;DF,MT;Lens;31-131;1993;6.9;305;255;49;3;0;0;21;41;5;3;0;0;251;1;4;Matchs
;Yvann Macon;fr FRA;DF;Saint-Étienne;26-102;1998;3.2;166;143;23;4;0;1;9;19;0;0;0;0;123;0;3;Matchs
;Eros Maddy;nl NED;DF;Auxerre;23-341;2001;0.1;3;3;0;0;0;0;0;0;0;0;0;0;3;0;0;Matchs
;Soungoutou Magassa;fr FRA;MT;Monaco;21-095;2003;7.3;407;400;6;6;3;4;3;0;0;0;0;0;344;1;7;Matchs
;Hugo Magnetti;fr FRA;MT;Brest;26-226;1998;12.0;490;464;23;16;0;2;6;4;0;0;0;0;414;3;8;Matchs
;Frank Magri;cm CMR;AT;Toulouse;25-129;1999;4.1;71;63;8;0;1;0;2;1;0;0;0;0;48;0;3;Matchs
;Ainsley Maitland-Niles;eng ENG;DF;Lyon;27-135;1997;12.1;623;512;106;9;2;4;25;86;11;7;2;0;513;5;15;Matchs
;Radosław Majecki;pl POL;GB;Monaco;25-056;1999;7.0;213;154;59;13;0;0;0;0;0;0;0;0;157;0;0;Matchs
;Nikola Maksimović;rs SRB;DF;Montpellier;33-047;1991;6.5;310;290;19;9;0;2;0;1;0;0;0;0;288;1;2;Matchs
;Hianga Mananga Mbock;fr FRA;MT;Brest;25-014;1999;0.2;17;17;0;0;0;0;0;0;0;0;0;0;14;0;0;Matchs
;Steve Mandanda;fr FRA;GB;Rennes;39-289;1985;15.5;478;374;104;34;0;0;0;0;0;0;0;0;333;0;0;Matchs
;Aïssa Mandi;dz ALG;DF;Lille;33-081;1991;11.3;679;595;83;18;0;12;6;61;0;0;0;0;605;1;3;Matchs
;Orel Mangala;be BEL;MT;Lyon;26-299;1998;0.7;32;31;0;0;0;0;1;0;0;0;0;0;29;1;2;Matchs
;Sekou Mara;fr FRA;AT,MT;Strasbourg;22-165;2002;6.7;140;131;9;0;2;1;2;1;0;0;0;0;101;0;7;Matchs
;Marquinhos;br BRA;DF;Paris S-G;30-242;1994;11.3;1086;1059;26;14;2;4;1;10;0;0;0;0;1028;1;5;Matchs
;Jonas Martin;fr FRA;MT;Brest;34-277;1990;5.1;273;263;9;6;0;1;3;3;0;0;0;0;240;1;6;Matchs
;;;;;;;;;;;;;;;;;;;;;;;
;Han-Noah Massengo;fr FRA;MT;Auxerre;23-188;2001;0.3;8;8;0;0;0;0;0;0;0;0;0;0;3;0;0;Matchs
;Clinton Mata;ao ANG;DF;Lyon;32-065;1992;12.1;682;616;64;30;0;2;27;33;0;0;0;0;578;2;7;Matchs
;Eliot Matazo;be BEL;MT;Monaco;22-331;2002;0.8;41;39;2;1;0;0;0;1;0;0;0;0;35;0;0;Matchs
;Nemanja Matić;rs SRB;MT;Lyon;36-163;1988;11.1;679;642;36;27;2;6;6;1;0;0;0;0;582;1;8;Matchs
;Azor Matusiwa;nl NED;MT;Rennes;26-258;1998;13.2;677;652;23;21;2;5;1;2;0;0;0;0;594;2;8;Matchs
;Neal Maupay;fr FRA;AT;Marseille;28-150;1996;7.4;191;172;19;4;1;0;1;3;0;0;0;0;158;0;6;Matchs
;Christian Mawissa;fr FRA;DF;Monaco;19-268;2005;5.2;271;254;17;6;0;0;2;8;0;0;0;0;222;0;6;Matchs
;Senny Mayulu;fr FRA;MT,DF;Paris S-G;18-239;2006;2.1;87;82;4;1;0;0;3;0;3;2;0;0;70;1;2;Matchs
;Ethan Mbappé;fr FRA;MT,AT;Lille;18-013;2006;0.9;42;40;2;1;0;0;0;0;1;0;0;0;35;0;1;Matchs
;Ibrahim Mbaye;fr FRA;AT,MT;Paris S-G;16-353;2008;1.0;35;34;0;0;0;0;1;0;0;0;0;0;30;1;0;Matchs
;Mark McKenzie;us USA;DF;Toulouse;25-321;1999;13.7;618;555;63;17;0;1;0;42;0;0;0;0;520;0;4;Matchs
;Facundo Medina;ar ARG;DF,MT;Lens;25-228;1999;13.7;854;792;55;30;2;4;8;25;0;0;0;0;739;7;7;Matchs
;Henrik Meister;dk DEN;AT;Rennes;21-055;2003;0.7;14;14;0;0;0;0;0;0;0;0;0;0;11;0;0;Matchs
;Bamo Meïté;ci CIV;DF,MT;Marseille;23-039;2001;0.3;28;24;4;0;0;0;0;4;0;0;0;0;26;0;1;Matchs
;Mohamed Meité;fr FRA;AT;Rennes;17-092;2007;0.1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;Matchs
;Farid El Melali;dz ALG;AT;Angers;27-251;1997;11.4;283;246;37;10;0;0;38;2;24;10;9;0;203;0;9;Matchs
;Nuno Mendes;pt POR;DF;Paris S-G;22-206;2002;7.0;587;527;57;11;1;4;23;46;0;0;0;0;514;3;10;Matchs
;Antoine Mendy;fr FRA;DF;Nice;20-229;2004;5.5;295;254;41;10;1;1;7;31;0;0;0;0;233;0;3;Matchs
;Nampalys Mendy;sn SEN;MT;Lens;32-202;1992;1.2;77;77;0;0;0;1;0;0;0;0;0;0;71;0;1;Matchs
;Gideon Mensah;gh GHA;DF;Auxerre;26-177;1998;11.3;537;434;100;10;2;5;39;90;0;0;0;0;416;3;11;Matchs
;Quentin Merlin;fr FRA;DF,MT;Marseille;22-240;2002;7.0;503;449;53;7;0;1;25;40;6;3;0;0;429;1;10;Matchs
;Rafik Messali;fr FRA;MT;Toulouse;21-258;2003;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Matchs
;Thomas Meunier;be BEL;DF;Lille;33-121;1991;7.1;483;425;58;4;0;5;21;53;1;0;0;0;374;0;11;Matchs
;Lucas Michel;fr FRA;MT;Monaco;20-266;2004;0.3;;;;;;;0;;;;;;;;;Matchs
;Georges Mikautadze;ge GEO;AT;Lyon;24-072;2000;6.6;202;192;9;0;2;2;5;2;0;0;0;0;154;1;6;Matchs
;;;;;;;;;;;;;;;;;;;;;;;
;Igor Miladinović;rs SRB;AT;Saint-Étienne;21-217;2003;0.2;7;7;0;0;0;0;0;0;0;0;0;0;5;0;0;Matchs
;Takumi Minamino;jp JPN;MT,AT;Monaco;29-361;1995;10.7;298;286;6;1;9;0;7;3;0;0;0;0;200;6;10;Matchs
;Lucas Mincarelli;fr FRA;DF;Montpellier;21-006;2004;2.8;126;105;21;4;0;0;12;17;0;0;0;0;97;0;3;Matchs
;Mostafa Mohamed;eg EGY;AT;Nantes;27-044;1997;5.8;102;93;7;0;1;0;2;1;0;0;0;0;59;2;6;Matchs
;Florent Mollet;fr FRA;MT,AT;Nantes;33-053;1991;1.8;83;69;13;2;0;0;12;1;10;2;8;0;67;1;1;Matchs
;Diego Moreira;pt POR;DF,MT;Strasbourg;20-158;2004;14.1;645;563;79;17;6;3;39;58;4;2;1;0;488;3;14;Matchs
;Gabriel Moscardo;br BRA;MT;Reims;19-105;2005;0.4;16;15;1;1;0;0;0;0;0;0;0;0;14;0;0;Matchs
;Yael Mouanga;fr FRA;DF;Montpellier;19-172;2005;1.0;58;58;0;0;0;0;0;0;0;0;0;0;52;0;1;Matchs
;Aimen Moueffek;fr FRA;MT;Saint-Étienne;23-277;2001;5.5;181;179;2;2;0;0;0;0;0;0;0;0;157;0;1;Matchs
;Youssoufa Moukoko;de GER;AT,MT;Nice;20-052;2004;2.1;38;36;2;0;0;0;1;0;0;0;0;0;30;0;0;Matchs
;Louis Mouton;fr FRA;MT;Saint-Étienne;22-222;2002;7.0;319;305;12;3;3;4;12;2;7;0;7;0;251;2;9;Matchs
;Ngal'Ayel Mukau;cd COD;MT;Lille;20-042;2004;6.9;351;347;2;0;0;0;1;1;0;0;0;0;322;2;5;Matchs
;Marshall Munetsi;zw ZIM;MT;Reims;28-203;1996;14.8;292;288;2;1;2;0;8;1;0;0;0;0;203;2;6;Matchs
;Junior Mwanga;fr FRA;MT;Strasbourg;21-245;2003;3.3;147;144;3;3;0;1;0;0;0;0;0;0;133;0;1;Matchs
;Djylian N'Guessan;fr FRA;AT;Saint-Étienne;16-134;2008;0.0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;Matchs
;Mickael Nade;fr FRA;DF;Saint-Étienne;25-313;1999;7.6;395;361;34;17;1;1;1;0;0;0;0;0;343;0;0;Matchs
;Bilal Nadir;fr FRA;MT;Marseille;21-044;2003;0.7;61;58;3;2;0;0;0;0;0;0;0;0;57;0;0;Matchs
;Mahamadou Nagida;cm CMR;DF;Rennes;19-197;2005;3.6;157;139;18;1;0;1;20;17;0;0;0;0;123;0;6;Matchs
;Keito Nakamura;jp JPN;AT;Reims;24-167;2000;13.8;359;344;14;3;2;7;28;6;0;0;0;0;266;1;10;Matchs
;Sebastian Nanasi;se SWE;AT,MT;Strasbourg;22-240;2002;12.8;415;367;48;7;5;1;35;7;31;9;17;0;320;0;10;Matchs
;Yael Nandjou;fr FRA;DF;Nice;19-189;2005;1.7;66;53;13;0;0;0;4;13;0;0;0;0;50;0;3;Matchs
;Youssouf Ndayishimiye;bi BDI;DF,MT;Nice;26-076;1998;7.5;435;406;26;19;1;1;2;2;0;0;0;0;387;3;2;Matchs
;Junior Ndiaye;fr FRA;AT,MT;Montpellier;19-288;2005;0.8;16;16;0;0;1;0;0;0;0;0;0;0;9;0;2;Matchs
;Rassoul Ndiaye;sn SEN;MT;Le Havre;23-031;2001;7.0;249;236;10;3;1;1;14;1;5;4;0;0;187;3;8;Matchs
;Tanguy Ndombele;fr FRA;MT;Nice;28-014;1996;10.5;398;384;11;10;5;0;2;0;0;0;0;0;343;3;3;Matchs
;;;;;;;;;;;;;;;;;;;;;;;
;Loïc Nego;hu HUN;DF,AT;Le Havre;33-362;1991;9.7;406;349;53;2;0;1;30;51;0;0;0;0;295;4;16;Matchs
;João Neves;pt POR;MT;Paris S-G;20-106;2004;12.1;1010;969;39;18;8;11;12;15;0;0;0;0;918;2;8;Matchs
;Mikayil Ngor Faye;sn SEN;DF;Rennes;20-181;2004;6.4;448;415;32;20;0;2;1;10;0;0;0;0;396;1;5;Matchs
;Steve Ngoura;fr FRA;AT;Le Havre;19-324;2005;3.2;57;49;8;0;0;0;2;0;0;0;0;0;37;0;4;Matchs
;Moussa Niakhate;sn SEN;DF;Lyon;28-309;1996;12.3;696;664;31;16;1;2;1;15;0;0;0;0;621;1;5;Matchs
;Abdoulaye Niakhate Ndiaye;sn SEN;DF;Brest;22-276;2002;5.6;320;310;10;8;0;2;1;0;0;0;0;0;268;0;0;Matchs
;Ibrahima Niane;sn SEN;AT;Angers;25-306;1999;7.6;148;133;14;2;1;2;2;0;0;0;0;0;101;1;3;Matchs
;Rasmus Nicolaisen;dk DEN;DF;Toulouse;27-301;1997;6.9;385;374;11;9;1;0;0;1;0;0;0;0;339;0;3;Matchs
;Arnaud Nordin;fr FRA;AT;Montpellier;26-208;1998;12.2;308;293;12;2;3;0;35;8;0;0;0;0;213;3;12;Matchs
;Ernest Nuamah;gh GHA;AT,MT;Lyon;21-071;2003;4.6;177;166;10;1;1;1;14;3;6;4;1;0;143;1;7;Matchs
;Rabby Nzingoula;cg CGO;MT;Montpellier;19-047;2005;9.0;266;262;3;2;4;1;7;1;0;0;0;0;198;1;9;Matchs
;M'Bala Nzola;ao ANG;AT;Lens;28-146;1996;9.4;172;169;2;0;0;0;1;1;0;0;0;0;128;1;4;Matchs
;Marwann Nzuzi;fr FRA;DF;Saint-Étienne;20-240;2004;1.4;55;41;14;0;0;0;1;14;0;0;0;0;46;0;1;Matchs
;Hamzat Ojediran;ng NGA;MT,AT;Lens;21-058;2003;3.3;181;178;2;1;3;0;2;1;0;0;0;0;153;1;1;Matchs
;Joseph Okumu;ke KEN;DF;Reims;27-230;1997;6.4;340;312;28;18;2;4;2;10;0;0;0;0;284;0;1;Matchs
;Ben Old;nz NZL;MT,AT;Saint-Étienne;22-151;2002;4.2;86;80;5;1;1;0;13;1;3;3;0;0;62;1;4;Matchs
;Warmed Omari;km COM;DF;Lyon;24-263;2000;0.1;6;5;1;1;0;0;0;0;0;0;0;0;6;0;0;Matchs
;Becir Omeragic;ch SUI;DF;Montpellier;22-357;2002;9.3;413;377;33;17;0;2;4;6;0;0;0;0;373;3;2;Matchs
;Ado Onaiwu;jp JPN;MT,AT;Auxerre;29-064;1995;5.7;200;194;3;0;0;0;5;0;0;0;0;0;144;3;9;Matchs
;Christopher Operi;ci CIV;DF,AT;Le Havre;27-257;1997;13.0;747;547;198;51;1;6;128;112;35;20;12;0;533;2;22;Matchs
;Victor Orakpo;ng NGA;AT;Nice;18-211;2006;0.4;17;16;1;0;0;0;0;0;0;0;0;0;15;0;1;Matchs
;Gift Orban;ng NGA;AT,DF;Lyon;22-178;2002;2.1;33;30;3;0;0;0;1;1;1;0;0;0;22;0;4;Matchs
;Gabriel Osho;ng NGA;DF;Auxerre;26-150;1998;11.1;478;455;23;11;0;5;2;3;0;0;0;0;416;0;2;Matchs
;Jibril Othman;tn TUN;AT;Saint-Étienne;20-260;2004;0.1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;Matchs
;Guimissongui Ouattara;fr FRA;AT,MT;Strasbourg;19-081;2005;0.8;34;31;3;0;0;0;1;3;0;0;0;0;29;0;0;Matchs
;;;;;;;;;;;;;;;;;;;;;;;
;Kassoum Ouattara;fr FRA;DF,AT;Monaco;20-089;2004;3.7;190;151;39;3;0;3;15;36;0;0;0;0;153;0;6;Matchs
;Zinédine Ould Khaled;fr FRA;MT;Angers;24-363;2000;0.6;17;17;0;0;0;0;0;0;0;0;0;0;15;0;0;Matchs
;Beres Owusu;fr FRA;DF;Saint-Étienne;21-114;2003;1.0;32;26;6;0;0;0;1;6;0;0;0;0;20;0;1;Matchs
;Elisha Owusu;gh GHA;MT;Auxerre;27-065;1997;15.4;517;512;4;3;0;4;6;1;0;0;0;0;408;1;9;Matchs
;Willian Pacho;ec ECU;DF;Paris S-G;23-087;2001;13.3;1149;1116;31;20;0;0;0;6;0;0;0;0;1083;2;3;Matchs
;Nicolas Pallois;fr FRA;DF;Nantes;37-114;1987;10.0;385;369;16;10;0;2;3;5;0;0;0;0;330;0;4;Matchs
;Kévin Pedro;fr FRA;DF;Saint-Étienne;18-325;2006;0.1;11;8;3;0;0;0;1;3;0;0;0;0;6;0;0;Matchs
;Théo Pellenard;fr FRA;DF;Auxerre;30-313;1994;0.5;20;11;8;2;0;0;2;6;0;0;0;0;15;1;0;Matchs
;Timothee Pembele;fr FRA;DF;Le Havre;22-124;2002;7.5;313;274;38;8;0;1;23;30;0;0;0;0;246;1;19;Matchs
;Faris Pemi Moumbagna;cm CMR;AT;Marseille;24-194;2000;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Matchs
;Óscar Perea;co COL;MT;Strasbourg;19-106;2005;0.1;4;4;0;0;0;0;0;0;0;0;0;0;4;0;0;Matchs
;Mathias Pereira Lage;pt POR;AT,MT;Brest;28-042;1996;5.8;151;135;15;5;1;0;23;2;8;5;3;0;92;1;9;Matchs
;Lucas Perri;br BRA;GB;Lyon;27-032;1997;16.0;499;377;120;26;0;2;0;0;0;0;0;0;363;2;0;Matchs
;Gaëtan Perrin;fr FRA;MT,AT;Auxerre;28-218;1996;13.2;443;355;84;22;3;3;67;3;46;17;23;0;314;4;16;Matchs
;Léo Pétrot;fr FRA;DF;Saint-Étienne;27-271;1997;11.5;486;410;74;8;1;2;16;66;0;0;0;0;379;2;11;Matchs
;Đorđe Petrović;rs SRB;GB;Strasbourg;25-095;1999;13.0;636;561;74;26;0;1;0;0;0;0;0;0;502;1;0;Matchs
;Tom Pouilly;fr FRA;DF;Lens;21-207;2003;0.5;36;27;9;2;0;1;0;7;0;0;0;0;24;0;1;Matchs
;Adrien Rabiot;fr FRA;MT;Marseille;29-283;1995;9.6;614;601;12;7;3;0;12;4;0;0;0;0;530;1;15;Matchs
;Gonçalo Ramos;pt POR;AT;Paris S-G;23-205;2001;2.1;37;36;1;0;0;0;0;1;0;0;0;0;28;0;3;Matchs
;Lilian Raolisoa;fr FRA;DF,AT;Angers;24-209;2000;2.7;120;92;28;5;1;0;17;18;5;0;3;0;89;0;3;Matchs
;Rayan Raveloson;mg MAD;MT,DF;Auxerre;27-361;1997;8.0;313;290;23;15;1;6;8;2;4;1;3;0;271;0;9;Matchs
;Guillaume Restes;fr FRA;GB;Toulouse;19-306;2005;15.8;465;351;114;42;0;0;0;0;0;0;0;0;349;0;0;Matchs
;Alexsandro Ribeiro;br BRA;DF;Lille;25-155;1999;15.0;1175;1112;63;34;1;3;3;1;0;0;0;0;1064;0;4;Matchs
;Valentin Rongier;fr FRA;MT,DF;Marseille;30-035;1994;6.2;479;465;14;7;0;0;1;7;0;0;0;0;438;0;5;Matchs
;Pablo Rosario;nl NED;MT,DF;Nice;28-004;1997;13.0;520;510;10;9;2;1;2;0;0;0;0;0;446;0;6;Matchs
;;;;;;;;;;;;;;;;;;;;;;;
;Jon Rowe;eng ENG;AT,MT;Marseille;21-256;2003;4.5;149;139;10;3;3;0;14;1;4;3;1;0;124;0;6;Matchs
