Clt;Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Att;Action de jeu;Coup de pied arrêté;CF;Tr;Tr;Ctr;PCF;Co;Rentrant;Sortant;Droit;Cmp;HJ;Balles contrées;Matchs
;Leonardo Balerdi;ar ARG;DF;Marseille;25-351;1999;12.0;1216;1182;32;23;1;4;0;1;0;0;0;0;1146;2;5;Matchs
;Folarin Balogun;us USA;AT;Monaco;23-192;2001;5.2;94;89;4;0;0;0;3;1;0;0;0;0;64;1;4;Matchs
;Abdoulaye Bamba;ci CIV;DF;Angers;34-261;1990;6.8;264;251;13;6;1;0;1;7;0;0;0;0;230;0;4;Matchs
;Mohamed Bamba;ci CIV;MT;Reims;20-095;2004;0.0;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;Matchs
;Bradley Barcola;fr FRA;AT;Paris S-G;22-131;2002;11.7;416;406;8;4;2;1;13;4;0;0;0;0;344;2;14;Matchs
;Melvin Bard;fr FRA;DF,MT;Nice;24-066;2000;7.5;367;304;60;6;4;0;21;53;0;0;0;0;268;3;9;Matchs
;Gabriel Bares;ch SUI;MT,DF;Montpellier;24-135;2000;0.6;40;39;1;1;0;0;1;0;0;0;0;0;34;0;0;Matchs
;Dylan Batubinsika;cd COD;DF;Saint-Étienne;28-331;1996;14.6;723;702;18;15;1;0;0;3;0;0;0;0;646;3;4;Matchs
;;;;;;;;;;;;;;;;;;;;;;;
;Haris Belkebla;dz ALG;MT;Angers;30-349;1994;11.0;441;426;14;14;0;2;2;0;0;0;0;0;384;1;7;Matchs
;Yassin Belkhdim;fr FRA;MT,AT;Angers;22-332;2002;6.4;196;194;2;1;1;0;4;1;0;0;0;0;167;0;6;Matchs
;Eliesse Ben Seghir;ma MAR;MT,AT;Monaco;19-330;2005;12.6;579;540;37;8;6;2;26;5;18;9;5;0;444;2;12;Matchs
;Saïd Benrahma;dz ALG;AT,MT;Lyon;29-154;1995;7.3;316;293;19;6;1;2;37;1;12;4;6;0;227;4;9;Matchs
;Lucas Beraldo;br BRA;DF;Paris S-G;21-048;2003;9.1;856;820;34;8;1;3;2;25;0;0;0;0;789;2;4;Matchs
;Dimitry Bertaud;cd COD;GB;Montpellier;26-219;1998;3.0;92;60;31;6;0;0;0;0;0;0;0;0;63;1;0;Matchs
;Emmanuel Biumla;fr FRA;DF;Angers;19-248;2005;9.1;294;278;14;13;0;0;0;0;0;0;0;0;256;2;1;Matchs
;Marco Bizot;nl NED;GB;Brest;33-307;1991;15.0;511;379;132;37;0;0;0;0;0;0;0;0;345;0;0;Matchs
;Ludovic Blas;fr FRA;MT,AT;Rennes;27-011;1997;14.5;564;491;72;19;5;11;73;6;47;30;11;0;420;1;12;Matchs
;Augustine Boakye;gh GHA;MT,AT;Saint-Étienne;24-069;2000;4.5;132;129;2;0;1;1;3;2;0;0;0;0;104;1;2;Matchs
;Jeremie Boga;ci CIV;MT,AT;Nice;28-008;1997;6.9;204;192;11;1;0;2;16;0;10;7;1;0;165;1;7;Matchs
;Moïse Bombito;ca CAN;DF;Nice;24-287;2000;12.7;722;693;29;10;1;4;0;1;0;0;0;0;653;0;2;Matchs
;Saïmon Bouabré;fr FRA;MT,AT;Monaco;18-224;2006;0.8;21;21;0;0;0;0;0;0;0;0;0;0;14;0;1;Matchs
;Ayyoub Bouaddi;fr FRA;MT;Lille;17-101;2007;6.5;292;291;1;1;1;1;0;0;0;0;0;0;257;0;8;Matchs
;Badredine Bouanani;dz ALG;MT,AT;Nice;20-034;2004;6.3;224;206;16;5;2;0;17;2;8;2;2;0;172;2;6;Matchs
;Benjamin Bouchouari;ma MAR;MT;Saint-Étienne;23-059;2001;8.2;385;383;2;0;5;1;2;1;1;0;1;0;334;0;5;Matchs
;Hicham Boudaoui;dz ALG;MT;Nice;25-110;1999;11.9;501;485;13;13;3;1;5;0;0;0;0;0;417;3;12;Matchs
;Benjamin Bourigeaud;fr FRA;MT;Rennes;30-363;1994;0.9;48;40;8;2;0;1;6;0;6;4;1;0;36;0;1;Matchs
;Bilal Brahimi;dz ALG;MT;Nice;24-303;2000;0.8;40;35;5;0;0;0;5;3;2;1;1;0;35;0;1;Matchs
;Lilian Brassier;fr FRA;DF;Marseille;25-070;1999;7.0;525;481;39;10;0;1;4;21;0;0;0;0;450;5;5;Matchs
;Aurélio Buta;pt POR;DF;Reims;27-336;1997;10.9;564;450;114;9;0;0;12;104;0;0;0;0;471;0;7;Matchs
;Marcin Bułka;pl POL;GB;Nice;25-099;1999;16.0;537;420;117;35;0;0;0;0;0;0;0;0;427;0;0;Matchs
;Rémy Cabella;fr FRA;AT,MT;Lille;34-309;1990;7.1;462;416;42;12;0;0;37;9;20;4;9;0;375;4;7;Matchs
;Mathieu Cafaro;fr FRA;MT,AT;Saint-Étienne;27-292;1997;7.6;208;182;26;6;1;1;26;5;15;5;8;0;150;0;3;Matchs
;Duje Ćaleta-Car;hr CRO;DF;Lyon;28-116;1996;12.9;716;682;33;22;1;2;1;2;0;0;0;0;649;1;2;Matchs
;;;;;;;;;;;;;;;;;;;;;;;
;Issiaga Camara;gn GUI;MT;Nice;19-344;2005;0.2;16;16;0;0;0;0;0;0;0;0;0;0;15;0;0;Matchs
;Lamine Camara;sn SEN;MT;Monaco;21-010;2004;11.3;679;623;54;23;1;8;44;2;29;17;9;0;572;2;7;Matchs
;Mahdi Camara;fr FRA;MT;Brest;26-195;1998;12.5;500;462;37;6;0;0;18;0;0;0;0;0;431;1;11;Matchs
;Axel Camblan;fr FRA;MT,AT;Brest;21-134;2003;0.3;7;7;0;0;0;0;1;0;0;0;0;0;3;0;1;Matchs
;Jaydee Canvot;fr FRA;MT,DF;Toulouse;18-166;2006;1.0;27;26;1;1;0;1;0;0;0;0;0;0;26;0;0;Matchs
;Pierrick Capelle;fr FRA;MT;Angers;37-271;1987;3.1;124;116;8;2;1;1;7;0;5;5;0;0;94;0;2;Matchs
;Gabin Capuano;fr FRA;AT;Lens;18-260;2006;0.1;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;Matchs
;Maxence Caqueret;fr FRA;MT;Lyon;24-331;2000;6.4;343;332;10;5;0;1;6;1;0;0;0;0;274;1;14;Matchs
;Valentin Carboni;ar ARG;MT,AT;Marseille;19-312;2005;1.1;64;62;2;0;1;0;2;2;0;0;0;0;57;0;3;Matchs
;Patrik Carlgren;se SWE;GB;Nantes;33-003;1992;3.0;93;64;28;5;0;0;0;0;0;0;0;0;65;1;0;Matchs
;Josué Casimir;fr FRA;AT,DF;Le Havre;23-109;2001;7.5;201;168;33;3;1;1;17;21;0;0;0;0;145;0;5;Matchs
;Cristian Cásseres Jr.;ve VEN;MT;Toulouse;24-357;2000;13.3;543;508;34;23;2;2;19;3;7;5;2;0;419;1;9;Matchs
;Jean-Charles Castelletto;cm CMR;DF;Nantes;29-351;1995;14.8;740;724;16;12;0;2;4;4;0;0;0;0;662;0;3;Matchs
;Fabien Centonze;fr FRA;DF;Nantes;28-361;1996;0.9;52;47;5;0;0;0;5;5;0;0;0;0;40;0;3;Matchs
;Brendan Chardonnet;fr FRA;DF;Brest;30-020;1994;14.0;727;697;30;29;1;7;3;0;0;0;0;0;593;0;5;Matchs
;Jhoanner Chávez;ec ECU;DF,MT;Lens;22-261;2002;6.6;308;234;73;5;0;0;30;49;19;9;3;0;230;1;3;Matchs
;Théo Chennahi;fr FRA;MT,DF;Montpellier;19-340;2005;0.1;3;2;1;1;0;0;1;0;0;0;0;0;2;0;0;Matchs
;Sidiki Cherif;fr FRA;AT;Angers;18-027;2006;3.1;51;50;1;0;3;0;3;0;0;0;0;0;27;0;4;Matchs
;Rayan Cherki;fr FRA;AT,MT;Lyon;21-147;2003;7.3;400;330;67;13;4;4;45;10;43;12;23;0;309;3;7;Matchs
