,Performance,Duels aériens,,Clt,Joueur,Nation,Pos,Équipe,Âge,Naissance,90,CJ,CR,2CrtJ,Fte,Ftp,HJ,Ctr,Int,TclR,Préussi,Pcon,CSC,Récupération,Gagnés,Perdus,% gagnés,Matchs
André Ayew,gh GHA,AT,Le Havre,35-020,1989,6.6,0,0,0,5,14,3,1,1,5,0,0,0,10,18,15,54.5,Matchs
Neil El Aynaoui,fr FRA,MT,Lens,23-188,2001,3.2,1,0,0,9,3,0,3,2,8,0,0,0,17,5,2,71.4,Matchs
Shavy Babicka,ga GAB,MT,AT,Toulouse,24-219,2000,5.8,1,0,0,10,10,2,18,1,10,0,0,0,27,2,3,40.0,Matchs
Theo Bair,ca CAN,AT,Auxerre,25-132,1999,4.7,1,0,0,10,2,6,4,0,1,0,0,0,3,26,17,60.5,Matchs
Mitchel Bakker,nl NED,DF,AT,Lille,24-200,2000,4.3,0,1,0,5,1,1,19,7,11,0,0,0,17,2,3,40.0,Matchs
Darryl Bakola,fr FRA,DF,Marseille,17-037,2007,0.1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,,Matchs
Dilane Bakwa,fr FRA,MT,AT,Strasbourg,22-133,2002,15.5,0,0,0,12,48,3,73,7,10,0,0,0,48,7,4,63.6,Matchs
Leonardo Balerdi,ar ARG,DF,Marseille,25-346,1999,12.0,4,1,1,12,9,0,0,14,18,0,0,1,60,13,10,56.5,Matchs
Folarin Balogun,us USA,AT,Monaco,23-187,2001,5.2,0,0,0,4,6,4,3,0,0,0,0,0,7,1,11,8.3,Matchs
Abdoulaye Bamba,ci CIV,DF,Angers,34-256,1990,6.8,1,0,0,3,3,0,1,7,6,0,0,0,19,5,3,62.5,Matchs
Mohamed Bamba,ci CIV,MT,Reims,20-090,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,Matchs
Bradley Barcola,fr FRA,AT,Paris S-G,22-126,2002,11.7,0,0,0,12,12,4,13,8,6,0,0,0,29,9,5,64.3,Matchs
Melvin Bard,fr FRA,DF,MT,Nice,24-061,2000,7.5,2,0,0,6,7,0,21,7,13,0,0,0,40,7,10,41.2,Matchs
Gabriel Bares,ch SUI,MT,DF,Montpellier,24-130,2000,0.6,0,0,0,0,1,0,1,1,2,0,0,0,1,0,1,0.0,Matchs
Dylan Batubinsika,cd COD,DF,Saint-Étienne,28-326,1996,14.6,1,0,0,16,9,0,0,29,8,0,1,1,43,27,11,71.1,Matchs

Haris Belkebla,dz ALG,MT,Angers,30-344,1994,11.0,0,0,0,8,14,1,2,18,14,0,0,0,38,6,12,33.3,Matchs
Yassin Belkhdim,fr FRA,MT,AT,Angers,22-327,2002,6.4,2,0,0,12,8,0,4,9,15,0,0,0,41,1,5,16.7,Matchs
Eliesse Ben Seghir,ma MAR,MT,AT,Monaco,19-325,2005,11.6,0,0,0,21,42,1,23,6,16,0,0,0,53,5,13,27.8,Matchs
Saïd Benrahma,dz ALG,AT,MT,Lyon,29-149,1995,7.3,0,0,0,6,6,5,37,2,4,0,0,0,27,0,0,,Matchs
Lucas Beraldo,br BRA,DF,Paris S-G,21-043,2003,9.1,4,0,0,14,5,1,2,8,14,0,1,0,42,8,7,53.3,Matchs
Dimitry Bertaud,cd COD,GB,Montpellier,26-214,1998,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matchs
Emmanuel Biumla,fr FRA,DF,Angers,19-243,2005,9.1,0,0,0,5,5,0,0,7,7,0,0,0,21,10,6,62.5,Matchs
Marco Bizot,nl NED,GB,Brest,33-302,1991,15.0,1,0,0,0,1,0,0,0,1,0,0,0,18,2,0,100.0,Matchs
Ludovic Blas,fr FRA,MT,AT,Rennes,27-006,1997,14.5,3,0,0,16,33,0,73,5,14,1,0,0,55,8,24,25.0,Matchs
Augustine Boakye,gh GHA,MT,AT,Saint-Étienne,24-064,2000,4.5,4,0,0,13,3,0,3,4,2,0,0,0,9,4,8,33.3,Matchs
Jeremie Boga,ci CIV,MT,AT,Nice,28-003,1997,6.9,0,0,0,0,8,4,16,2,4,0,0,0,28,1,2,33.3,Matchs
Moïse Bombito,ca CAN,DF,Nice,24-282,2000,12.7,2,1,1,10,4,0,0,9,12,0,1,1,52,20,27,42.6,Matchs
Saïmon Bouabré,fr FRA,MT,Monaco,18-219,2006,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,Matchs
Ayyoub Bouaddi,fr FRA,MT,Lille,17-096,2007,5.8,1,0,0,8,4,0,0,6,15,0,0,0,30,2,7,22.2,Matchs
Badredine Bouanani,dz ALG,MT,AT,Nice,20-029,2004,6.3,2,0,0,6,10,1,17,5,2,0,0,0,19,1,10,9.1,Matchs
Benjamin Bouchouari,ma MAR,MT,Saint-Étienne,23-054,2001,8.2,2,0,0,6,13,0,2,9,12,0,0,0,52,2,8,20.0,Matchs
Hicham Boudaoui,dz ALG,MT,Nice,25-105,1999,11.9,5,0,0,20,18,0,5,13,19,0,0,0,76,9,17,34.6,Matchs
Benjamin Bourigeaud,fr FRA,MT,Rennes,30-358,1994,0.9,0,0,0,0,0,0,6,2,0,0,0,0,4,2,2,50.0,Matchs
Bilal Brahimi,dz ALG,MT,Nice,24-298,2000,0.8,0,0,0,3,0,0,5,0,0,0,0,0,1,0,0,,Matchs
Lilian Brassier,fr FRA,DF,Marseille,25-065,1999,7.0,2,0,0,5,2,0,4,4,5,0,0,0,30,16,6,72.7,Matchs
Aurélio Buta,pt POR,DF,Reims,27-331,1997,10.9,4,0,0,19,17,1,12,11,16,0,1,0,40,5,8,38.5,Matchs
Marcin Bułka,pl POL,GB,Nice,25-094,1999,16.0,0,0,0,0,3,0,0,0,0,0,0,0,23,4,0,100.0,Matchs
Rémy Cabella,fr FRA,MT,AT,Lille,34-304,1990,6.2,1,0,0,9,10,0,28,7,12,1,0,0,36,1,4,20.0,Matchs
Mathieu Cafaro,fr FRA,MT,AT,Saint-Étienne,27-287,1997,7.6,3,1,0,11,14,3,26,7,6,0,1,0,28,3,4,42.9,Matchs
