Clt;Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Tcl;TclR;ZDéf;MilTer;ZOff;Tcl;Att;Tcl%;Manqués;Balles contrées;Tirs;Passe;Int;Tcl+Int;Dég;Err;Matchs
;Darryl Bakola;fr FRA;DF;Marseille;17-042;2007;0.1;1;1;0;1;0;0;0;;0;0;0;0;0;1;0;0;Matchs
;Dilane Bakwa;fr FRA;MT,AT;Strasbourg;22-138;2002;15.5;17;11;8;4;5;6;15;40.0;9;13;0;13;7;24;17;0;Matchs
;Leonardo Balerdi;ar ARG;DF;Marseille;25-351;1999;12.0;24;18;16;7;1;11;20;55.0;9;17;10;7;14;38;33;3;Matchs
;Folarin Balogun;us USA;AT;Monaco;23-192;2001;5.2;0;0;0;0;0;0;2;0.0;2;0;0;0;0;0;0;0;Matchs
;Abdoulaye Bamba;ci CIV;DF;Angers;34-261;1990;6.8;12;6;10;2;0;7;9;77.8;2;5;3;2;7;19;31;0;Matchs
;Mohamed Bamba;ci CIV;MT;Reims;20-095;2004;0.0;0;0;0;0;0;0;0;;0;1;0;1;0;0;0;0;Matchs
;Bradley Barcola;fr FRA;AT;Paris S-G;22-131;2002;11.7;12;6;5;5;2;1;13;7.7;12;11;0;11;8;20;4;0;Matchs
;Melvin Bard;fr FRA;DF,MT;Nice;24-066;2000;7.5;23;13;18;5;0;9;15;60.0;6;14;6;8;7;30;16;2;Matchs
;Gabriel Bares;ch SUI;MT,DF;Montpellier;24-135;2000;0.6;2;2;2;0;0;1;2;50.0;1;0;0;0;1;3;3;0;Matchs
;Dylan Batubinsika;cd COD;DF;Saint-Étienne;28-331;1996;14.6;16;8;12;3;1;7;13;53.8;6;16;8;8;29;45;83;3;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
;Haris Belkebla;dz ALG;MT;Angers;30-349;1994;11.0;21;14;15;5;1;10;20;50.0;10;12;2;10;18;39;23;1;Matchs
;Yassin Belkhdim;fr FRA;MT,AT;Angers;22-332;2002;6.4;30;15;13;11;6;13;29;44.8;16;11;2;9;9;39;13;0;Matchs
;Eliesse Ben Seghir;ma MAR;MT,AT;Monaco;19-330;2005;12.6;21;17;7;10;4;12;20;60.0;8;12;0;12;6;27;1;0;Matchs
;Saïd Benrahma;dz ALG;AT,MT;Lyon;29-154;1995;7.3;7;4;3;3;1;2;9;22.2;7;6;0;6;2;9;1;0;Matchs
;Lucas Beraldo;br BRA;DF;Paris S-G;21-048;2003;9.1;16;14;12;4;0;10;20;50.0;10;6;2;4;8;24;15;1;Matchs
;Dimitry Bertaud;cd COD;GB;Montpellier;26-219;1998;3.0;0;0;0;0;0;0;0;;0;0;0;0;0;0;2;0;Matchs
;Emmanuel Biumla;fr FRA;DF;Angers;19-248;2005;9.1;14;7;10;4;0;9;14;64.3;5;11;5;6;7;21;44;0;Matchs
;Marco Bizot;nl NED;GB;Brest;33-307;1991;15.0;1;1;1;0;0;0;0;;0;0;0;0;0;1;12;0;Matchs
