Clt;Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Cmp;Att;Cmp%;TotDist;DistBut;Cmp;Att;Cmp%;Cmp;Att;Cmp%;Cmp;Att;Cmp%;PD;xAG;xA;A-xAG;PC;01-mars;PPA;CntSR;PrgP;Matchs
;Hákon Arnar Haraldsson;is ISL;MT,AT;Lille;21-276;2003;5.8;259;320;80.9;4300;915;122;146;83.6;107;119;89.9;23;34;67.6;1;0.3;0.7;+0.7;7;29;10;1;29;Matchs
;Marco Asensio;es ESP;AT,MT;Paris S-G;28-356;1996;6.8;285;329;86.6;4040;779;179;192;93.2;79;92;85.9;18;25;72.0;4;2.7;1.6;+1.3;15;31;4;1;35;Matchs
;Lorenz Assignon;tg TOG;DF,MT;Rennes;24-203;2000;10.5;435;544;80.0;6761;2475;217;255;85.1;184;224;82.1;19;35;54.3;1;0.5;0.8;+0.5;8;27;9;4;49;Matchs
;Dehmaine Assoumani;fr FRA;MT,AT;Nantes;19-269;2005;0.4;28;31;90.3;427;126;16;17;94.1;10;11;90.9;2;3;66.7;0;0.3;0.5;-0.3;3;1;2;2;1;Matchs
;Valentin Atangana Edoa;fr FRA;MT;Reims;19-139;2005;14.7;481;548;87.8;7263;1936;259;272;95.2;202;218;92.7;11;29;37.9;0;0.3;0.2;-0.3;5;30;2;0;47;Matchs
;Florian Ayé;fr FRA;AT;Auxerre;27-358;1997;3.5;58;75;77.3;721;84;41;50;82.0;13;18;72.2;1;1;100.0;0;0.1;0.1;-0.1;1;4;2;0;3;Matchs
;André Ayew;gh GHA;AT;Le Havre;35-025;1989;6.6;92;119;77.3;1051;93;61;73;83.6;22;26;84.6;0;1;0.0;0;0.0;0.0;0.0;1;2;0;0;8;Matchs
;Neil El Aynaoui;fr FRA;MT;Lens;23-193;2001;3.2;138;159;86.8;1939;442;80;87;92.0;46;52;88.5;5;7;71.4;0;0.3;0.2;-0.3;3;10;2;1;13;Matchs
;Shavy Babicka;ga GAB;MT,AT;Toulouse;24-224;2000;5.8;95;139;68.3;1253;237;61;79;77.2;26;39;66.7;2;4;50.0;0;0.8;0.9;-0.8;6;3;3;1;8;Matchs
;Theo Bair;ca CAN;AT;Auxerre;25-137;1999;4.7;73;115;63.5;887;201;46;66;69.7;14;26;53.8;3;4;75.0;0;0.4;0.4;-0.4;7;7;0;0;12;Matchs
;Mitchel Bakker;nl NED;DF,AT;Lille;24-205;2000;4.3;195;242;80.6;3107;1086;102;114;89.5;72;88;81.8;15;26;57.7;0;0.6;0.5;-0.6;4;18;4;3;18;Matchs
;Darryl Bakola;fr FRA;DF;Marseille;17-042;2007;0.1;9;10;90.0;134;33;6;6;100.0;2;3;66.7;1;1;100.0;0;0.0;0.0;0.0;0;0;0;0;0;Matchs
;Dilane Bakwa;fr FRA;MT,AT;Strasbourg;22-138;2002;15.5;428;583;73.4;7401;2254;210;248;84.7;159;203;78.3;51;102;50.0;5;3.8;3.4;+1.2;31;37;23;7;66;Matchs
;Leonardo Balerdi;ar ARG;DF;Marseille;25-351;1999;12.0;1146;1216;94.2;19550;7590;462;473;97.7;602;620;97.1;61;89;68.5;0;0.7;0.5;-0.7;5;88;4;0;57;Matchs
;Folarin Balogun;us USA;AT;Monaco;23-192;2001;5.2;64;94;68.1;752;120;36;46;78.3;15;24;62.5;2;5;40.0;0;0.9;1.1;-0.9;6;5;1;0;9;Matchs
;Abdoulaye Bamba;ci CIV;DF;Angers;34-261;1990;6.8;230;264;87.1;4790;1648;52;59;88.1;158;166;95.2;19;33;57.6;0;0.1;0.2;-0.1;3;9;2;1;9;Matchs
;Mohamed Bamba;ci CIV;MT;Reims;20-095;2004;0.0;1;2;50.0;37;10;0;0;;0;1;0.0;1;1;100.0;0;0.0;0.0;0.0;0;0;0;0;1;Matchs
;Bradley Barcola;fr FRA;AT;Paris S-G;22-131;2002;11.7;344;416;82.7;4569;1005;241;262;92.0;86;107;80.4;10;16;62.5;2;4.4;2.4;-2.4;21;15;17;2;39;Matchs
;Melvin Bard;fr FRA;DF,MT;Nice;24-066;2000;7.5;268;367;73.0;4588;1586;130;149;87.2;115;148;77.7;19;50;38.0;0;0.4;0.5;-0.4;2;23;5;1;29;Matchs
;Gabriel Bares;ch SUI;MT,DF;Montpellier;24-135;2000;0.6;34;40;85.0;590;199;17;19;89.5;13;14;92.9;4;7;57.1;0;0.0;0.0;0.0;0;5;0;0;3;Matchs
;Dylan Batubinsika;cd COD;DF;Saint-Étienne;28-331;1996;14.6;646;723;89.3;12263;3806;200;211;94.8;394;423;93.1;43;73;58.9;0;0.1;0.2;-0.1;2;26;2;0;27;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Haris Belkebla;dz ALG;MT;Angers;30-349;1994;11.0;384;441;87.1;5987;1638;205;224;91.5;150;169;88.8;16;24;66.7;0;0.1;0.2;-0.1;3;38;2;0;36;Matchs
;Yassin Belkhdim;fr FRA;MT,AT;Angers;22-332;2002;6.4;167;196;85.2;2448;627;90;95;94.7;64;75;85.3;8;11;72.7;0;0.3;0.2;-0.3;2;8;2;1;16;Matchs
;Eliesse Ben Seghir;ma MAR;MT,AT;Monaco;19-330;2005;12.6;444;579;76.7;6152;1890;267;315;84.8;140;180;77.8;15;37;40.5;3;3.5;2.6;-0.5;19;45;28;2;77;Matchs
;Saïd Benrahma;dz ALG;AT,MT;Lyon;29-154;1995;7.3;227;316;71.8;3322;1151;131;152;86.2;68;100;68.0;15;28;53.6;3;2.1;2.7;+0.9;14;20;17;3;29;Matchs
;Lucas Beraldo;br BRA;DF;Paris S-G;21-048;2003;9.1;789;856;92.2;13282;4927;342;359;95.3;385;407;94.6;46;64;71.9;0;0.2;0.6;-0.2;3;82;10;1;54;Matchs
;Dimitry Bertaud;cd COD;GB;Montpellier;26-219;1998;3.0;63;92;68.5;1921;1513;7;7;100.0;32;32;100.0;24;52;46.2;0;0.0;0.0;0.0;0;3;0;0;0;Matchs
;Emmanuel Biumla;fr FRA;DF;Angers;19-248;2005;9.1;256;294;87.1;5106;1623;64;76;84.2;171;180;95.0;18;31;58.1;0;0.0;0.0;0.0;0;6;1;0;8;Matchs
;Marco Bizot;nl NED;GB;Brest;33-307;1991;15.0;345;511;67.5;11342;8884;39;40;97.5;151;152;99.3;155;319;48.6;0;0.0;0.0;0.0;0;2;0;0;0;Matchs
;Ludovic Blas;fr FRA;MT,AT;Rennes;27-011;1997;14.5;420;564;74.5;7103;2023;214;241;88.8;149;199;74.9;43;93;46.2;6;2.6;2.9;+3.4;29;42;20;5;64;Matchs
;Augustine Boakye;gh GHA;MT,AT;Saint-Étienne;24-069;2000;4.5;104;132;78.8;1466;464;59;71;83.1;27;34;79.4;9;12;75.0;0;0.6;0.4;-0.6;8;9;6;0;18;Matchs
;Jeremie Boga;ci CIV;MT,AT;Nice;28-008;1997;6.9;165;204;80.9;2291;606;108;124;87.1;47;54;87.0;8;13;61.5;1;1.5;1.9;-0.5;14;8;8;3;17;Matchs
;Moïse Bombito;ca CAN;DF;Nice;24-287;2000;12.7;653;722;90.4;12117;4839;244;259;94.2;342;364;94.0;56;82;68.3;0;0.0;0.2;0.0;1;36;1;0;46;Matchs
;Saïmon Bouabré;fr FRA;MT,AT;Monaco;18-224;2006;0.8;14;21;66.7;216;67;8;10;80.0;6;9;66.7;0;0;;0;0.0;0.0;0.0;0;2;1;0;2;Matchs
;Ayyoub Bouaddi;fr FRA;MT;Lille;17-101;2007;6.5;257;292;88.0;4196;849;122;137;89.1;110;117;94.0;16;18;88.9;1;0.9;1.1;+0.1;4;20;1;0;21;Matchs
;Badredine Bouanani;dz ALG;MT,AT;Nice;20-034;2004;6.3;172;224;76.8;2535;573;109;124;87.9;50;68;73.5;11;19;57.9;0;0.7;0.8;-0.7;9;9;5;0;23;Matchs
;Benjamin Bouchouari;ma MAR;MT;Saint-Étienne;23-059;2001;8.2;334;385;86.8;4857;1628;201;222;90.5;108;122;88.5;16;24;66.7;0;0.5;0.4;-0.5;7;35;7;0;43;Matchs
;Hicham Boudaoui;dz ALG;MT;Nice;25-110;1999;11.9;417;501;83.2;6683;2118;207;237;87.3;172;197;87.3;27;38;71.1;1;0.5;1.0;+0.5;7;38;15;1;64;Matchs
;Benjamin Bourigeaud;fr FRA;MT;Rennes;30-363;1994;0.9;36;48;75.0;646;141;15;16;93.8;17;21;81.0;4;10;40.0;0;0.0;0.0;0.0;0;3;0;0;4;Matchs
;Bilal Brahimi;dz ALG;MT;Nice;24-303;2000;0.8;35;40;87.5;614;163;15;16;93.8;18;19;94.7;2;4;50.0;0;0.0;0.2;0.0;1;1;1;1;4;Matchs
;Lilian Brassier;fr FRA;DF;Marseille;25-070;1999;7.0;450;525;85.7;6958;2240;224;234;95.7;203;235;86.4;15;35;42.9;0;0.0;0.1;0.0;0;35;2;0;29;Matchs
;Aurélio Buta;pt POR;DF;Reims;27-336;1997;10.9;471;564;83.5;7167;2708;267;302;88.4;172;205;83.9;24;38;63.2;1;0.3;0.7;+0.7;7;32;9;3;48;Matchs
;Marcin Bułka;pl POL;GB;Nice;25-099;1999;16.0;427;537;79.5;10279;7047;104;106;98.1;212;219;96.8;108;208;51.9;0;0.2;0.0;-0.2;1;5;0;0;0;Matchs
;Rémy Cabella;fr FRA;AT,MT;Lille;34-309;1990;7.1;375;462;81.2;5264;1332;232;258;89.9;117;143;81.8;14;29;48.3;2;1.7;2.2;+0.3;16;23;13;5;42;Matchs
