Joueur;Nation;Pos;Équipe;Âge;Naissance;90;Buts;Tirs;TC;TC%;Tir/90;TC/90;B/Tir;B/TC;Dist;CF;PénM;PénT;xG;npxG;npxG/Sh;G-xG;np:G-xG;Matchs
Bamo Meïté;ci CIV;DF,MT;Marseille;23-039;2001;0.3;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Mohamed Meité;fr FRA;AT;Rennes;17-092;2007;0.1;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Farid El Melali;dz ALG;AT;Angers;27-251;1997;11.4;1;24;9;37.5;2.11;0.79;0.04;0.11;23.3;4;0;0;1.6;1.6;0.07;-0.6;-0.6;Matchs
Nuno Mendes;pt POR;DF;Paris S-G;22-206;2002;7.0;0;7;5;71.4;1.00;0.71;0.00;0.00;18.2;0;0;0;0.8;0.8;0.11;-0.8;-0.8;Matchs
Antoine Mendy;fr FRA;DF;Nice;20-229;2004;5.5;0;4;1;25.0;0.73;0.18;0.00;0.00;9.8;0;0;0;0.4;0.4;0.11;-0.4;-0.4;Matchs
Nampalys Mendy;sn SEN;MT;Lens;32-202;1992;1.2;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Gideon Mensah;gh GHA;DF;Auxerre;26-177;1998;11.3;0;2;0;0.0;0.18;0.00;0.00;;18.5;0;0;0;0.1;0.1;0.04;-0.1;-0.1;Matchs
Quentin Merlin;fr FRA;DF,MT;Marseille;22-240;2002;7.0;1;9;4;44.4;1.29;0.57;0.11;0.25;17.5;0;0;0;0.6;0.6;0.07;+0.4;+0.4;Matchs
Rafik Messali;fr FRA;MT;Toulouse;21-258;2003;0.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Thomas Meunier;be BEL;DF;Lille;33-121;1991;7.1;1;12;4;33.3;1.69;0.56;0.08;0.25;16.4;0;0;0;1.0;1.0;0.09;0.0;0.0;Matchs
Lucas Michel;fr FRA;MT;Monaco;20-266;2004;0.3;0;0;0;;0.00;0.00;;;;;0;0;;;;;;Matchs
Georges Mikautadze;ge GEO;AT;Lyon;24-072;2000;6.6;4;24;11;45.8;3.63;1.66;0.13;0.27;13.7;0;1;2;4.9;3.3;0.14;-0.9;-0.3;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
Igor Miladinović;rs SRB;AT;Saint-Etienne;21-217;2003;0.2;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Takumi Minamino;jp JPN;MT,AT;Monaco;29-361;1995;10.7;1;25;6;24.0;2.33;0.56;0.04;0.17;15.3;0;0;0;3.2;3.2;0.13;-2.2;-2.2;Matchs
Lucas Mincarelli;fr FRA;DF;Montpellier;21-006;2004;2.8;0;1;1;100.0;0.36;0.36;0.00;0.00;33.2;0;0;0;0.0;0.0;0.01;0.0;0.0;Matchs
Mostafa Mohamed;eg EGY;AT;Nantes;27-044;1997;5.8;1;18;7;38.9;3.10;1.20;0.06;0.14;13.6;0;0;0;1.7;1.7;0.10;-0.7;-0.7;Matchs
Florent Mollet;fr FRA;MT,AT;Nantes;33-053;1991;1.8;0;5;2;40.0;2.73;1.09;0.00;0.00;16.3;0;0;0;0.3;0.3;0.05;-0.3;-0.3;Matchs
Diego Moreira;pt POR;DF,MT;Strasbourg;20-158;2004;14.1;1;12;5;41.7;0.85;0.35;0.08;0.20;15.4;1;0;0;0.9;0.9;0.07;+0.1;+0.1;Matchs
Gabriel Moscardo;br BRA;MT;Reims;19-105;2005;0.4;0;1;0;0.0;2.81;0.00;0.00;;26.8;0;0;0;0.0;0.0;0.03;0.0;0.0;Matchs
Yael Mouanga;fr FRA;DF;Montpellier;19-172;2005;1.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Aimen Moueffek;fr FRA;MT;Saint-Etienne;23-277;2001;5.5;0;5;2;40.0;0.91;0.36;0.00;0.00;17.8;0;0;0;0.7;0.7;0.14;-0.7;-0.7;Matchs
Youssoufa Moukoko;de GER;AT,MT;Nice;20-052;2004;2.1;2;5;2;40.0;2.42;0.97;0.40;1.00;9.0;0;0;0;2.2;2.2;0.44;-0.2;-0.2;Matchs
Louis Mouton;fr FRA;MT;Saint-Etienne;22-222;2002;7.0;0;12;3;25.0;1.72;0.43;0.00;0.00;23.8;0;0;0;0.8;0.8;0.06;-0.8;-0.8;Matchs
Ngal'Ayel Mukau;cd COD;MT;Lille;20-042;2004;6.9;0;6;0;0.0;0.87;0.00;0.00;;24.2;0;0;0;0.3;0.3;0.04;-0.3;-0.3;Matchs
Marshall Munetsi;zw ZIM;MT;Reims;28-203;1996;14.8;3;31;9;29.0;2.09;0.61;0.10;0.33;13.5;0;0;0;3.8;3.8;0.12;-0.8;-0.8;Matchs
Junior Mwanga;fr FRA;MT;Strasbourg;21-245;2003;3.3;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Djylian N'Guessan;fr FRA;AT;Saint-Etienne;16-134;2008;0.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Mickael Nade;fr FRA;DF;Saint-Etienne;25-313;1999;7.6;1;2;1;50.0;0.26;0.13;0.50;1.00;7.3;0;0;0;0.7;0.7;0.33;+0.3;+0.3;Matchs
Bilal Nadir;fr FRA;MT;Marseille;21-044;2003;0.7;1;1;1;100.0;1.36;1.36;1.00;1.00;12.9;0;0;0;0.1;0.1;0.10;+0.9;+0.9;Matchs
Mahamadou Nagida;cm CMR;DF;Rennes;19-197;2005;3.6;0;3;1;33.3;0.83;0.28;0.00;0.00;20.9;1;0;0;0.1;0.1;0.03;-0.1;-0.1;Matchs
Keito Nakamura;jp JPN;AT;Reims;24-167;2000;13.8;7;38;14;36.8;2.75;1.01;0.18;0.50;16.3;0;0;0;4.6;4.6;0.12;+2.4;+2.4;Matchs
Sebastian Nanasi;se SWE;AT,MT;Strasbourg;22-240;2002;12.8;4;14;7;50.0;1.09;0.54;0.29;0.57;12.1;0;0;0;3.8;3.8;0.27;+0.2;+0.2;Matchs
Yael Nandjou;fr FRA;DF;Nice;19-189;2005;1.7;0;1;0;0.0;0.58;0.00;0.00;;7.5;0;0;0;0.2;0.2;0.22;-0.2;-0.2;Matchs
Youssouf Ndayishimiye;bi BDI;DF,MT;Nice;26-076;1998;7.5;1;5;1;20.0;0.67;0.13;0.20;1.00;13.3;0;0;0;0.3;0.3;0.06;+0.7;+0.7;Matchs
Junior Ndiaye;fr FRA;AT,MT;Montpellier;19-288;2005;0.8;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matchs
Rassoul Ndiaye;sn SEN;MT;Le Havre;23-031;2001;7.0;1;12;4;33.3;1.71;0.57;0.08;0.25;18.1;0;0;0;1.2;1.2;0.10;-0.2;-0.2;Matchs
Tanguy Ndombele;fr FRA;MT;Nice;28-014;1996;10.5;1;9;1;11.1;0.86;0.10;0.11;1.00;14.9;0;0;0;1.6;1.6;0.18;-0.6;-0.6;Matchs
;;;;;;;;;;;;;;;;;;;;;;;;
